creado,fecha,proyecto,vendedor,tipo_de_cliente,cliente,cantidad,articulo,costo,impresión,precio,total,mermas,paqueteria_o_gasto_extra,utilidad_real
2018-10-29 10:30:09,2018-10-03,PB1809250101,JESSICA OSORIO,RECURRENTE,HITCHINER,30.0,MOCHILAS,240.75,56.67,386.65,11599.5,1.0,0.0,2436.15
2018-11-07 11:01:15,2018-10-10,PB1808230704,JESSICA OSORIO,RECURRENTE,PANALPINA,10.0,RECONOCIMIENTOS,950.0,0.0,1377.4,13774.0,0.0,0.0,4274.0
2018-11-07 11:05:15,2018-10-11,PB1810110101,JESSICA OSORIO,RECURRENTE,EXCEL,20.0,PLAYERA,130.0,0.0,246.0,4920.0,0.0,0.0,2320.0
2018-11-07 11:05:15,2018-10-11,PB1810110101,JESSICA OSORIO,RECURRENTE,EXCEL,20.0,PANTALON,169.8,0.0,241.99,4839.8,0.0,0.0,1443.8
2018-11-07 11:05:15,2018-10-12,PB1810120101,JESSICA OSORIO,RECURRENTE,PAPALOTE,1995.0,TAZAS,12.6,10.0,27.04,53944.8,20.0,0.0,8605.8
2018-11-07 11:05:15,2018-10-01,PB1809050202,JESSICA OSORIO,RECURRENTE,ALPURA,240.0,BOLIGRAFOS,38.25,8.5,56.1,13464.0,2.0,0.0,2167.5
2018-11-07 11:05:15,2018-10-16,PB1810160201,JESSICA OSORIO,RECURRENTE,HITCHINER,900.0,GORRAS,45.0,58.0,131.84,118656.0,7.0,0.0,25641.0
2018-11-07 11:05:15,2018-10-22,PB1810160103,JESSICA OSORIO,RECURRENTE,OCEANTOURS,3.0,MALETAS,1037.8,333.33,1782.49,5347.47,0.0,0.0,1234.08
2018-11-07 11:05:15,2018-10-22,PB1810160103,JESSICA OSORIO,RECURRENTE,OCEANTOURS,1.0,PAQUETERIA,450.0,0.0,450.0,450.0,0.0,0.0,0.0
2018-11-07 12:46:07,2018-10-23,PB1810220102,JESSICA OSORIO,RECURRENTE,MÈXICO GRAN HOTEL,1000.0,BOLÍGRAFOS,3.49,0.7,6.35,6350.0,2.0,0.0,2153.02
2018-11-07 12:46:07,2018-10-23,PB1810220102,JESSICA OSORIO,RECURRENTE,MÈXICO GRAN HOTEL,1000.0,BOLIGRAFOS,3.49,0.7,6.35,6350.0,2.0,0.0,2153.02
2018-11-07 12:46:07,2018-10-24,PB1810190302,JESSICA OSORIO,RECURRENTE,VIMAH,1000.0,BOLIGRAFOS,2.65,0.7,4.86,4860.0,2.0,0.0,1504.7
2018-11-07 12:46:07,2018-10-24,PB1810190302,JESSICA OSORIO,RECURRENTE,VIMAH,500.0,BOLIGRAFOS,2.65,0.7,4.86,2430.0,2.0,0.0,749.7
2018-11-07 12:46:07,2018-10-24,PB1810190302,JESSICA OSORIO,RECURRENTE,VIMAH,500.0,BOLIGRAFOS,2.65,0.7,4.86,2430.0,2.0,0.0,749.7
2018-11-07 12:46:07,2018-10-29,PB1810170102,JESSICA OSORIO,RECURRENTE,MÉXICO GRAN HOTEL,50.0,TAZAS,14.82,8.8,35.43,1771.5,2.0,0.0,560.86
2018-11-07 12:46:07,2018-10-29,PB1810170102,JESSICA OSORIO,RECURRENTE,MÉXICO GRAN HOTEL,50.0,CILINDROS,10.92,11.6,33.75,1687.5,2.0,0.0,539.66
2018-11-07 12:46:07,2018-10-29,PB1810170102,JESSICA OSORIO,RECURRENTE,MÉXICO GRAN HOTEL,50.0,BOLSAS,5.62,20.0,37.15,1857.5,2.0,0.0,565.26
2018-11-07 12:46:07,2018-10-26,PB1810100202,JESSICA OSORIO,RECURRENTE,SON`S,2000.0,GLOBOS,1.36,0.0,2.62,5240.0,0.0,0.0,2520.0
2018-11-07 12:46:07,2018-10-29,PB1810080603,JESSICA OSORIO,RECURRENTE,ALPURA,200.0,CALCULADORAS,15.21,2.0,23.4,4680.0,2.0,0.0,1207.58
2018-11-07 12:46:07,2018-10-15,PB1810150101,JESSICA OSORIO,RECURRENTE,PANALPINA,4.0,ROLL UP,1100.0,0.0,1540.0,6160.0,0.0,0.0,1760.0
2018-11-07 12:46:07,2018-10-11,PB1810110101,JESSICA OSORIO,RECURRENTE,EXCEL,80.0,PLAYERA,130.0,246.0,19680.0,1574400.0,0.0,0.0,1544320.0
2018-11-07 12:46:07,2018-10-11,PB1810110101,JESSICA OSORIO,RECURRENTE,EXCEL,80.0,PANTALON,169.8,241.99,19358.4,1548672.0,0.0,0.0,1515728.8
2018-11-07 12:46:07,2018-11-01,PB1810290102,JESSICA OSORIO,RECURRENTE,ESSERE,305.0,BOLIGRAFOS,8.25,1.0,12.89,3931.45,2.0,0.0,1093.7
2018-11-07 12:46:07,2018-11-01,PB1810290102,JESSICA OSORIO,RECURRENTE,ESSERE,305.0,BOLIGRAFOS,8.25,1.0,12.89,3931.45,0.0,0.0,1110.2
2018-11-07 12:46:07,2018-11-05,PB1810240208,JESSICA OSORIO,RECURRENTE,RUSSELL BEDFORD,30.0,USB,87.75,7.33,118.85,3565.5,1.0,0.0,625.35
2018-11-07 12:46:07,2018-11-05,PB1810240208,JESSICA OSORIO,RECURRENTE,RUSSELL BEDFORD,30.0,USB,87.75,7.33,118.85,3565.5,0.0,0.0,713.1
2018-11-07 19:07:46,2018-11-05,PB1810230604,JESSICA OSORIO,RECURRENTE,RUSSELL BEDFORD,83.0,MOCHILA,246.86,12.0,315.81,26212.23,1.0,0.0,4479.99
2018-11-07 19:07:46,2018-11-05,PB1810230604,JESSICA OSORIO,RECURRENTE,RUSSELL BEDFORD,83.0,MOCHILA,246.86,12.0,315.81,26212.23,0.0,0.0,4726.85
2018-11-12 11:39:23,2018-11-12,PB1811090501,JESSICA OSORIO,RECURRENTE,SON`S,700.0,BOCINA,157.56,7.0,189.24,132468.0,3.0,0.0,16803.32
2018-11-23 11:14:01,2018-11-23,PB1811220201,JESSICA OSORIO,RECURRENTE,PAPALOTE,50.0,LIBRETAS,20.72,0.0,31.52,1576.0,0.0,0.0,540.0
2018-11-23 12:08:19,2018-11-23,PB1811220101,JESSICA OSORIO,RECURRENTE,PAPALOTE,200.0,LIBRETAS,20.72,5.55,31.52,6304.0,2.0,0.0,1008.56
2018-11-23 12:08:19,2018-11-23,PB1811220101,JESSICA OSORIO,RECURRENTE,PAPALOTE,100.0,BOLIGRAFOS NA,2.96,0.55,4.39,439.0,2.0,0.0,82.08
2018-11-23 12:08:19,2018-11-23,PB1811220101,JESSICA OSORIO,RECURRENTE,PAPALOTE,200.0,BOLIGRAFOS MO,2.96,0.55,4.39,878.0,2.0,0.0,170.08
2018-11-23 12:08:19,2018-11-23,PB1811220101,JESSICA OSORIO,RECURRENTE,PAPALOTE,200.0,BOLIGRAFOS RO,2.96,0.55,4.39,878.0,2.0,0.0,170.08
2018-11-23 12:11:49,2018-11-23,PB1811220101,JESSICA OSORIO,RECURRENTE,PAPALOTE,100.0,BOLIGRAFO R,2.96,0.55,4.39,439.0,2.0,0.0,82.08
