creado,fecha,proyecto,vendedor,tipo_de_cliente,cliente,cantidad,articulo,costo,impresión,precio,total,mermas,paqueteria_o_gasto_extra,utilidad_real
2018-10-29 10:15:30,2018-10-01,PS1808080202,CRISTIAN HERNANDEZ,RECURRENTE,VMACS,10.0,HIELERA,88.07,0.0,140.91,1409.1,0.0,0.0,528.4
2018-11-07 09:04:28,2018-10-01,PS1808080202,CRISTIAN HERNANDEZ,RECURRENTE,VMACS,10.0,MOCHILA METROPOLITAN,451.33,0.0,541.6,5416.0,0.0,0.0,902.7
2018-11-07 09:04:28,2018-10-01,PS1808080202,CRISTIAN HERNANDEZ,RECURRENTE,VMACS,10.0,MALETA TRAVEL,228.13,0.0,296.57,2965.7,0.0,0.0,684.4
2018-11-07 09:04:28,2018-10-01,PS1808080202,CRISTIAN HERNANDEZ,RECURRENTE,VMACS,10.0,PORTA PASAPORTE,86.32,0.0,143.43,1434.3,0.0,0.0,571.1
2018-11-07 09:19:25,2018-10-02,AS1809240301,CRISTIAN HERNANDEZ,NUEVO,TUS EVENTOS,50.0,MOUSE PAD,9.69,19.8,49.66,2483.0,2.0,0.0,989.12
2018-11-07 09:24:41,2018-10-01,AS1809270401,CRISTIAN HERNANDEZ,RECURRENTE,ALTECH PRO,200.0,CABLE MULTICONECTOR,31.2,2.2,42.45,8490.0,2.0,0.0,1747.6
2018-11-07 09:24:41,2018-10-01,AS1809270401,CRISTIAN HERNANDEZ,RECURRENTE,ALTECH PRO,200.0,PARASOL,33.54,11.0,65.09,13018.0,2.0,0.0,4042.92
2018-11-07 09:35:52,2018-10-04,PS1809280102,CRISTIAN HERNANDEZ,RECURRENTE,MAYAKOBA,200.0,CILINDRO FICUS,14.7,9.3,32.4,6480.0,2.0,0.0,1650.6
2018-11-07 09:35:52,2018-10-04,PS1809280102,CRISTIAN HERNANDEZ,RECURRENTE,MAYAKOBA,200.0,CILINDRO BERRY,46.33,9.3,72.32,14464.0,2.0,0.0,3245.34
2018-11-07 09:35:52,2018-10-04,PS1809280102,CRISTIAN HERNANDEZ,RECURRENTE,MAYAKOBA,600.0,BOLSA DE TEES,20.75,8.6,49.9,29940.0,2.0,0.0,12288.5
2018-11-07 09:35:52,2018-10-16,AS1810020603,CRISTIAN HERNANDEZ,NUEVO,SIXBELL,500.0,BOLIGRAFO DE PLASTICO,6.92,1.32,11.01,5505.0,2.0,0.0,1371.16
2018-11-07 09:54:05,2018-10-18,AS1810160201,CRISTIAN HERNANDEZ,NUEVO,RIONMA,20.0,PORTARRETRATO GIRABLE,75.07,44.0,174.34,3486.8,1.0,0.0,1030.33
2018-11-07 09:59:07,2018-10-23,PS1810120202,CRISTIAN HERNANDEZ,RECURRENTE,VMACS,56.0,AGENDA DIARIA,100.68,45.0,196.67,11013.52,1.0,0.0,2754.76
2018-11-07 10:04:00,2018-10-24,AS1809180506,CRISTIAN HERNANDEZ,NUEVO,YAKULT,1000.0,PORTEGAFETES,7.14,0.0,9.64,9640.0,2.0,0.0,2485.72
2018-11-07 10:04:00,2018-10-24,AS1809180506,CRISTIAN HERNANDEZ,NUEVO,YAKULT,1000.0,MICA PORTAGAFETE,2.2,0.0,2.2,2200.0,0.0,0.0,0.0
2018-11-07 10:16:16,2018-10-22,AS1810160101,CRISTIAN HERNANDEZ,RECURRENTE,PARAUTOS,100.0,ANTIESTRES,5.81,4.4,16.13,1613.0,2.0,0.0,580.38
2018-11-07 10:16:16,2018-10-22,AS1810160101,CRISTIAN HERNANDEZ,RECURRENTE,PARAUTOS,32.0,LONCHERA,94.96,79.06,207.26,6632.32,2.0,0.0,873.76
2018-11-07 10:16:16,2018-10-22,AS1810160101,CRISTIAN HERNANDEZ,RECURRENTE,PARAUTOS,50.0,AGENDA DE BOLSILLO,38.5,17.8,75.5,3775.0,1.0,0.0,921.5
