articulo,recomendacion
bolígrafo,884.0493180188306
bolsa,656.2461988811136
termo,462.5939992282307
mochila,419.30254252027225
libreta,417.3145628238611
cilindro,349.0165442604412
taza,300.21395259970114
llavero,293.21000862169285
porta,282.8683748011938
pelota,245.36830874213692
usb,238.930271296036
cubrebocas,226.6714666934665
set,202.92992072987786
antiestrés,199.32974385651733
vaso,194.56566627216543
gorra,133.48608939389334
playera,107.33104110883878
antibacterial,104.30738847893582
tarjeta,86.9651536352407
celular,86.49639150394648
cinta,86.4138693226909
lonchera,86.21768339180453
bocina,85.47125486243146
paraguas,81.69804333036363
maleta,78.13641730868544
pluma,76.99234146787977
funda,76.96454550016014
sujetador,66.9943412649142
mouse_pad,65.13869460676871
espejo,64.69283993565541
destapadores,64.54226992996117
cable,59.73003440359854
tarro,58.91742479774929
botella,56.28804980236521
juego,55.31644254116736
soporte,46.8974027807632
identificador,42.780000218553305
herramienta,42.64718589744574
vino,42.55137860231286
sudadera,41.724577209152066
power_bank,39.51019314135194
alcancías,39.32096458886114
reloj,38.168477913978585
crayones,34.48749436150328
agenda,33.225567685993504
pin,31.734996960765056
auriculares,30.025148196581465
hielera,29.6244756201422
iman,29.48991594456315
navaja,28.761762459903267
cosmetiquera,27.75653672753683
carpeta,27.36185779430456
organizador,26.788286693201975
encendedor,26.632152628154817
lapicera_lapiz,25.553455174449745
dominós,22.87813399447749
parasol,20.802131264131297
lampara,20.741223982939818
chaleco,20.66840594839541
cubiertos,20.26910740268135
banderines,19.415009150811002
impermeable,19.085544504978305
cangurera,18.98552843034886
post_it,16.350055109528878
abanico,15.027821425669623
audífonos,14.865249485807112
pastillero,14.844042509046256
binoculares,14.35928135805283
ventilador,13.994217368544838
kit,13.823920906544094
aplaudidor,12.58282466202877
espray,12.435309946867783
calendario,11.605399853747743
camisa,10.728396770240515
cuchara,10.626211293269757
inflables,10.232560152834736
utensilios,9.505570755392226
dispensador,9.234272552314847
regla,8.121823012473328
pantalón,7.756039050049218
bata,7.756039050049218
peluche,7.725749074048695
joyero,7.70696955828775
toalla,7.578329643536469
flyer,7.468551200626063
guantes,7.398370789450526
adaptadores,7.2027168079739745
frazada,7.0016465452476915
almohada,6.66597981396456
chamarra,6.5096285220104475
difusor,5.3641983851202575
reconocimiento,5.121909852872612
sombrilla,4.759203003063274
humificador,4.6171362761574235
pañalera,0.0
mascarilla,0.0
colgador,0.0
tapete,0.0
popsocket,0.0
careta,0.0
cuaderno,0.0
jenga,0.0
termómetro,0.0
