articulo,recomendacion
libreta,371.7815972545515
antiestrés,252.438535006566
pelota,215.87047141217369
cinta,204.04467825697807
bolígrafo,198.36511273731486
tarjeta,196.18256450164048
set,174.16773843264906
mochila,174.09242569796058
sujetador,157.98501828980596
usb,139.11987447233662
termo,138.21434443723882
antibacterial,134.04765983228643
taza,131.0893264923546
cilindro,128.65321051393477
gorra,124.26171781574143
celular,104.0494789058846
herramienta,102.45061199651813
maleta,96.9326276807132
vaso,93.62135343789764
mouse_pad,87.17572456326803
espejo,84.35851918286801
lonchera,75.38226518155625
hielera,71.88823204265472
pluma,70.26091786623486
funda,69.67350876627535
porta,63.30640236907281
carpeta,60.23228575295559
power_bank,57.81839382822928
bolsa,57.123519405644664
juego,56.959081516534965
soporte,55.944731452019354
lampara,55.78142014406578
identificador,55.431148545202724
paraguas,55.02778960039738
llavero,54.46954721680506
vino,52.8861611396738
botella,51.98402718891924
reloj,51.096155539995806
cubiertos,48.900543820083314
impermeable,48.83303656290388
cable,48.766285594174725
agenda,48.57525251780332
crayones,48.25483945229949
parasol,46.56179145186915
bocina,46.356508032970645
banderines,45.0683668621139
cangurera,41.43957596477711
post_it,39.375836148587126
tarro,37.91235042380527
cosmetiquera,37.711957010599214
navaja,36.03535566198453
destapadores,35.92654796814391
alcancías,35.51874186313506
organizador,35.44986086974663
abanico,34.77133333174382
dominós,34.51293349991917
audífonos,32.962388429176485
auriculares,32.33188493669974
kit,32.296676122648556
ventilador,31.88846016411818
pastillero,31.689074398055165
encendedor,31.416156409982253
chaleco,28.90116469010969
calendario,28.18811902102224
aplaudidor,28.041621479892438
cubrebocas,27.513005752487
espray,27.44770022211457
regla,23.126912381988248
lapicera_lapiz,22.800980433643048
sudadera,22.00172432438918
cuchara,21.469095335446536
utensilios,18.030129365672373
peluche,17.77805798229744
binoculares,17.770089871744343
pin,17.770089871744343
pantalón,17.770089871744343
bata,17.770089871744343
toalla,17.76146195586301
playera,17.201549094554238
chamarra,17.017185545826745
flyer,16.88405052201863
guantes,15.762347235250388
adaptadores,15.420873528341778
iman,15.397892399906402
frazada,15.350736376136696
reconocimiento,15.31904176200932
inflables,15.055316196580597
almohada,13.867444933863265
difusor,12.481287421163806
camisa,12.481287421163806
sombrilla,11.832815928916334
dispensador,11.268830331902931
humificador,11.268830331902931
joyero,9.515135815936297
colgador,0.0
popsocket,0.0
careta,0.0
cuaderno,0.0
pañalera,0.0
mascarilla,0.0
tapete,0.0
jenga,0.0
termómetro,0.0
