creado,fecha,proyecto,vendedor,tipo_de_cliente,cliente,cantidad,articulo,costo,impresión,precio,total,mermas,paqueteria_o_gasto_extra,utilidad_real
2018-10-29 10:22:07,2018-10-08,PG1809270105,NORMA MARTINEZ,RECURRENTE,TIC TECH,50.0,APUNTADOR LASER,38.25,15.3,78.88,3944.0,1.0,0.0,1228.25
2018-11-07 11:03:14,2018-10-08,PG1810050402,NORMA MARTINEZ,NUEVO,JORGE MAYNE,22.0,USB,65.0,0.0,88.4,1944.8,0.0,0.0,514.8
2018-11-07 13:15:20,2018-10-09,PG1809130504,NORMA MARTINEZ,NUEVO,ISPORTSM,250.0,CRAYONES,2.24,0.0,7.39,1847.5,0.0,0.0,1287.5
2018-11-07 13:15:20,2018-10-09,PG1809130504,NORMA MARTINEZ,NUEVO,ISPORTSM,250.0,MORRAL BLANCO,6.9,2.96,12.82,3205.0,2.0,0.0,726.2
2018-11-07 13:15:20,2018-10-09,PG1809130504,NORMA MARTINEZ,NUEVO,ISPORTSM,1300.0,MORRAL AZUL,6.9,2.5,12.03,15639.0,2.0,0.0,3405.2
2018-11-07 13:15:20,2018-10-11,PG1810020204,NORMA MARTINEZ,RECURRENTE,CARL ROGERS,200.0,VASOS ROJO,8.54,2.9,35.35,7070.0,4.0,0.0,4747.84
2018-11-07 16:36:10,2018-10-11,PG1810100604,NORMA MARTINEZ,RECURRENTE,CARL ROGERS,100.0,TAZAS CORAZÓN,27.2,8.8,52.5,5250.0,1.0,0.0,1622.8
2018-11-07 16:44:44,2018-10-12,PG1810110302,NORMA MARTINEZ,NUEVO,CREACIONES LIBRES,30.0,CABLE USB,42.48,0.0,87.08,2612.4,0.0,0.0,1338.0
2018-11-07 16:44:44,2018-10-12,PG1810110302,NORMA MARTINEZ,NUEVO,CREACIONES LIBRES,105.0,PELOTA ANTIESTRES,6.59,0.0,12.46,1308.3,0.0,0.0,616.35
2018-11-07 16:44:44,2018-10-17,PG1810160603,NORMA MARTINEZ,NUEVO,AMCO,5000.0,TARJETEROS,6.82,2.15,11.07,55350.0,3.0,0.0,10479.54
2018-11-07 16:51:55,2018-10-29,PG1808220505,NORMA MARTINEZ,RECURRENTE,CORNE,300.0,LIBRETAS,33.75,18.27,85.45,25635.0,1.0,0.0,9995.25
2018-11-16 18:36:40,2018-11-22,PG1811120302,NORMA MARTINEZ,NUEVO,SISOLUCIONES,185.0,AGENDAS,121.4,0.0,149.14,27590.9,0.0,0.0,5131.9
2018-11-16 18:49:38,2018-11-15,PG1810260103,NORMA MARTINEZ,NUEVO,HORACIO,10.0,SET DE PELOTAS,124.52,58.0,317.95,3179.5,0.0,0.0,1354.3
2018-11-16 18:49:38,2018-11-15,PG1810260103,NORMA MARTINEZ,NUEVO,HORACIO,10.0,ESTUCHE,154.71,44.0,511.54,5115.4,0.0,0.0,3128.3
2018-11-23 10:38:17,2018-11-21,PG1811150403,NORMA MARTINEZ,NUEVO,ANVITE,100.0,USB,52.0,0.0,65.0,6500.0,0.0,0.0,1300.0
2018-11-23 11:30:17,2018-11-23,PG1811220702,NORMA MARTINEZ,RECURRENTE,XPRESSO EN CREATIVIDAD,110.0,MORRALES,15.45,0.0,23.95,2634.5,0.0,0.0,935.0
2018-11-23 16:44:05,2018-11-23,PG1811200404,NORMA MARTINEZ,NUEVO,PAMELA MIER,250.0,SET OFICINA,36.348,0.0,46.89,11722.5,0.0,0.0,2635.5
2018-11-26 11:34:18,2018-11-26,PG1811130803,NORMA MARTINEZ,RECURRENTE,TIC-TECH,70.0,AGENDAS,65.52,8.29,95.95,6716.5,0.0,0.0,1549.8
2018-11-28 18:44:03,2018-11-28,PG1811010206,NORMA MARTINEZ,RECURRENTE,XPRESSO EN CREATIVIDAD,182.0,TERMOS,57.05,0.0,77.87,14172.34,0.0,0.0,3789.24
2018-11-28 19:03:56,2018-11-28,PG1811220102,NORMA MARTINEZ,RECURRENTE,ORTO PROMOS,101.0,BOLIGRAFO VERDE,6.6,0.0,14.85,1499.85,0.0,0.0,833.25
2018-12-05 10:00:09,2018-12-04,PG1812030406,NORMA MARTINEZ,RECURRENTE,ORTO PROMOS,50.0,AGENDA TERRA,111.93,0.0,147.75,7387.5,0.0,0.0,1791.0
2018-12-05 14:13:11,2018-12-04,PG1812030406,NORMA MARTINEZ,RECURRENTE,ORTO PROMOS,50.0,AGENDA DIARIA,100.68,0.0,141.96,7098.0,0.0,0.0,2064.0
2018-12-05 14:13:11,2018-12-04,PG1812030406,NORMA MARTINEZ,RECURRENTE,ORTO PROMOS,170.0,AGENDA DE BOLSILLO,38.5,0.0,49.28,8377.6,0.0,0.0,1832.6
2018-12-05 14:18:14,2018-12-03,PG1811270502,NORMA MARTINEZ,RECURRENTE,FINSA,4000.0,PORTA CREDENCIAL,8.05,0.0,10.22,40880.0,0.0,0.0,8680.0
2018-12-05 14:22:04,2018-12-05,PG1812040301,NORMA MARTINEZ,RECURRENTE,XPRESSO EN CREATIVIDAD,23.0,TERMOS FERRANA,57.05,0.0,79.3,1823.9,0.0,0.0,511.75
2018-12-05 14:26:47,2018-12-05,PG1812030605,NORMA MARTINEZ,RECURRENTE,ALTERNATIVA CREATIVA,35.0,LIBRETAS,252.22,17.43,383.9,13436.5,0.0,0.0,3998.75
2018-12-06 12:04:42,2018-12-06,PG1810300405,NORMA MARTINEZ,NUEVO,G&T ALTERNATIVA,50.0,TERMOS,67.31,0.0,90.2,4510.0,0.0,0.0,1144.5
2018-12-06 12:04:42,2018-12-06,PG1810300405,NORMA MARTINEZ,NUEVO,G&T ALTERNATIVA,50.0,LIBRETAS,65.37,0.0,89.56,4478.0,0.0,0.0,1209.5
2018-12-10 16:51:36,2018-12-10,PG1812100302,NORMA MARTINEZ,RECURRENTE,ORTO PROMOS,25.0,AGENDAS,98.15,0.0,129.56,3239.0,0.0,0.0,785.25
2018-12-17 16:53:39,2018-12-14,PG1812140102,NORMA MARTINEZ,RECURRENTE,FORMAS IMPRESAS,300.0,LIBRETAS,9.21,0.0,11.51,3453.0,0.0,0.0,690.0
2018-12-17 17:01:23,2018-12-17,PG1812170201,NORMA MARTINEZ,NUEVO,BRENDA SANCHEZ,50.0,FUNDA NEOPRENO,7.91,0.0,22.15,1107.5,0.0,0.0,712.0
2018-12-17 18:05:17,2018-12-17,PG1812140103,NORMA MARTINEZ,RECURRENTE,FORMAS IMPRESAS,300.0,AGENDAS DE BOLSILLO,38.5,0.0,48.51,14553.0,0.0,0.0,3003.0
