articulo,recomendacion
bolígrafo,875.7384826777171
bolsa,649.4230019255501
termo,458.2464187853956
mochila,415.4398104778802
libreta,413.55056901130865
cilindro,345.97581263534954
taza,297.148066649071
llavero,290.2207020373856
porta,279.837183585204
pelota,243.2514291752403
usb,236.71990235060423
cubrebocas,224.28373134449933
set,200.92800671288342
antiestrés,197.557154626382
vaso,192.63540494142788
gorra,132.1563803570104
playera,105.77279625248657
antibacterial,103.35803262487471
tarjeta,86.19825053826445
cinta,85.67786236899018
celular,85.6458758869675
lonchera,85.34839662103154
bocina,84.65066158357709
paraguas,80.8574987861437
maleta,77.4516912912881
funda,76.27422153000933
pluma,76.24822624792951
sujetador,66.38789193477835
mouse_pad,64.54069862985004
espejo,64.17252957431197
destapadores,63.84986133954048
cable,59.085964443878495
tarro,58.24359046032073
botella,55.681281359690196
juego,54.80398016045902
soporte,46.470460429817294
identificador,42.38021226584721
herramienta,42.22040928447334
vino,42.14301736682558
sudadera,41.2504360477102
power_bank,39.04152511261058
alcancías,38.919481355847886
reloj,37.79247942920515
crayones,34.14756833642527
agenda,32.92523103896728
pin,31.364401955310548
auriculares,29.717710255749626
hielera,29.341236684286947
iman,29.017387360720612
navaja,28.465121275051644
cosmetiquera,27.5297937408189
carpeta,27.127588082869433
organizador,26.499863931701864
encendedor,26.400696132465853
lapicera_lapiz,25.267305730558444
dominós,22.630024869303284
parasol,20.622798529070728
lampara,20.473800692557962
chaleco,20.43726615029047
cubiertos,20.090055122728423
banderines,19.23819630199621
impermeable,18.909518070220738
cangurera,18.84421114869758
post_it,16.173746743121846
abanico,14.91378109980693
pastillero,14.730003220431216
audífonos,14.683887703959108
binoculares,14.245535927747888
ventilador,13.870194849777464
kit,13.703815937281023
aplaudidor,12.462495421299408
espray,12.312552615888727
calendario,11.481149276097844
camisa,10.611605144784168
cuchara,10.443609883958832
inflables,10.102687710395777
utensilios,9.404413336978829
dispensador,9.120331560686664
regla,7.99851793539643
pantalón,7.698871439338994
bata,7.698871439338994
peluche,7.667140597767725
joyero,7.531949153121871
toalla,7.521162032826245
flyer,7.407915496087027
guantes,7.341400293636434
adaptadores,7.145844092821504
frazada,6.943356182088447
almohada,6.609588414213015
chamarra,6.452161285193816
difusor,5.305802572392084
reconocimiento,5.044739002569081
sombrilla,4.699831084992255
humificador,4.560165780343332
pañalera,0.0
mascarilla,0.0
colgador,0.0
tapete,0.0
popsocket,0.0
careta,0.0
cuaderno,0.0
jenga,0.0
termómetro,0.0
